date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2019-12-28,01:26.68,cander -cg ุ,jump_revenant,WR,IRC,,-00:15.25,,false,1134830,,,
2019-12-28,01:41.94,vi,jump_revenant,WR,IRC,,-00:15.17,,false,1134830,,,
2019-12-28,01:57.12,vi,jump_revenant,WR,IRC,,-00:29.88,,false,1134830,,,
2019-12-28,02:27.00,vice,jump_revenant,WR,IRC,,-01:47.27,,false,1134830,,,
2019-12-28,04:14.28,xlxvs,jump_revenant,WR,IRC,,-01:45.86,,false,1134830,,,
2019-12-28,06:00.14,Fluffie,jump_revenant,WR,IRCSet,,,,false,1134830,76561198028114870,[U:1:67849142],
2019-12-28,06:00.14,Fluffie,jump_revenant,WR,IRCSet,,,,false,1134839,,,
2019-12-28,01:26.68,cander -cg ุ,jump_revenant,WR,IRC,,-00:15.25,,false,1134840,,,
2019-12-28,01:41.94,vi,jump_revenant,WR,IRC,,-00:15.17,,false,1134840,,,
2019-12-28,01:57.12,vi,jump_revenant,WR,IRC,,-00:29.88,,false,1134840,,,
2019-12-28,02:27.00,vice,jump_revenant,WR,IRC,,-01:47.27,,false,1134840,,,
2019-12-28,04:14.28,xlxvs,jump_revenant,WR,IRC,,-01:45.86,,false,1134840,,,
2019-12-28,06:00.14,Fluffie,jump_revenant,WR,IRCSet,,,,false,1134840,76561198028114870,[U:1:67849142],
2019-12-28,06:00.14,Fluffie,jump_revenant,WR,IRCSet,,,,false,1134844,,,
2019-12-28,06:00.14,Fluffie,jump_revenant,WR,FirstRecord,,,,false,1134851,76561198028114870,[U:1:67849142],
2019-12-28,06:00.14,Fluffie,jump_revenant,WR,Compact,,,,false,1134851,76561198028114870,[U:1:67849142],
2019-12-28,01:16.02,Zike1017 ツ -tt,jump_revenant,WR,IRC,,-00:02.17,,false,1134863,,,
2019-12-28,01:26.68,cander -cg ุ,jump_revenant,WR,IRC,,-00:15.25,,false,1134863,,,
2019-12-28,01:41.94,vi,jump_revenant,WR,IRC,,-00:15.17,,false,1134863,,,
2019-12-28,01:57.12,vi,jump_revenant,WR,IRC,,-00:29.88,,false,1134863,,,
2019-12-28,02:27.00,vice,jump_revenant,WR,IRC,,-01:47.27,,false,1134863,,,
2019-12-28,04:14.28,xlxvs,jump_revenant,WR,IRC,,-01:45.86,,false,1134863,,,
2019-12-28,01:57.12,vi,jump_revenant,WR,IRC,,-00:29.88,,false,1134864,,,
2019-12-28,02:27.00,vice,jump_revenant,WR,IRC,,-01:47.27,,false,1134864,76561198366368448,[U:1:406102720],
2019-12-28,04:14.28,xlxvs,jump_revenant,WR,IRC,,-01:45.86,,false,1134864,,,
2019-12-28,01:26.68,cander -cg ุ,jump_revenant,WR,IRC,,-00:15.25,,false,1134865,,,
2019-12-28,01:41.94,vi,jump_revenant,WR,IRC,,-00:15.17,,false,1134865,,,
2019-12-28,01:57.12,vi,jump_revenant,WR,IRC,,-00:29.88,,false,1134865,,,
2019-12-28,02:27.00,vice,jump_revenant,WR,IRC,,-01:47.27,,false,1134865,,,
2019-12-28,04:14.28,xlxvs,jump_revenant,WR,IRC,,-01:45.86,,false,1134865,,,
2019-12-28,00:23.18,Zike1017 ツ -tt,jump_revenant,WR,Bonus 4,,-00:00.09,,false,1134878,,,
2019-12-28,00:23.28,chiyo,jump_revenant,WR,Bonus 4,,,,false,1134878,,,
2019-12-28,01:16.02,Zike1017 ツ -tt,jump_revenant,WR,MapRecord,,-00:02.17,00:03.34,false,1134878,,,
2019-12-28,01:26.68,cander -cg ุ,jump_revenant,WR,IRC,,-00:15.25,,false,1134878,,,
2019-12-28,01:41.94,vi,jump_revenant,WR,IRC,,-00:15.17,,false,1134878,76561198172607493,[U:1:212341765],
2019-12-28,01:57.12,vi,jump_revenant,WR,IRC,,-00:29.88,,false,1134878,76561198172607493,[U:1:212341765],
2019-12-28,02:27.00,vice,jump_revenant,WR,IRC,,-01:47.27,,false,1134878,,,
2019-12-28,04:14.28,xlxvs,jump_revenant,WR,MapRecord,,-01:45.86,,false,1134878,76561198066037991,[U:1:105772263],
2019-12-28,02:27.00,vice,jump_revenant,WR,MapRecord,,-01:47.27,,false,1134881,76561198366368448,[U:1:406102720],
2019-12-28,04:14.28,xlxvs,jump_revenant,WR,IRC,,-01:45.86,,false,1134881,,,
2019-12-28,01:57.12,vi,jump_revenant,WR,IRC,,-00:29.88,,false,1134883,,,
2019-12-28,02:27.00,vice,jump_revenant,WR,IRC,,-01:47.27,,false,1134883,76561198366368448,[U:1:406102720],
2019-12-28,01:57.12,vi,jump_revenant,WR,MapRecord,,-00:29.88,00:49.23,false,1134885,76561198172607493,[U:1:212341765],
2019-12-28,01:41.94,vi,jump_revenant,WR,IRC,,-00:15.17,,false,1134901,,,
2019-12-28,01:41.94,vi,jump_revenant,WR,MapRecord,,-00:15.17,00:15.17,false,1134905,76561198172607493,[U:1:212341765],
2019-12-28,01:16.02,Zike1017 ツ -tt,jump_revenant,WR,IRC,,-00:02.17,,false,1134907,,,
2019-12-28,01:26.68,cander -cg ุ,jump_revenant,WR,IRC,,-00:15.25,,false,1134907,,,
2019-12-28,01:41.94,vi,jump_revenant,WR,IRC,,-00:15.17,,false,1134907,,,
2019-12-28,01:16.02,Zike1017 ツ -tt,jump_revenant,WR,IRC,,-00:02.17,,false,1134913,,,
2019-12-28,01:26.68,cander -cg ุ,jump_revenant,WR,IRC,,-00:15.25,,false,1134913,,,
2019-12-28,01:41.94,vi,jump_revenant,WR,IRC,,-00:15.17,,false,1134913,,,
2019-12-28,00:15.91,chiyo,jump_revenant,WR,Bonus 3 First,,,,false,1134923,76561198046582124,[U:1:86316396],
2019-12-28,00:17.29,chiyo,jump_revenant,WR,Bonus 1,,-00:00.12,00:00.12,false,1134923,76561198046582124,[U:1:86316396],
